TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
UC Davis,BW,34,23,97.4,100.8,0.4033,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,-7.5,R64,16,2017
Mount Saint Mary’s,NEC,36,20,98.9,101.8,0.4155,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,68.3,-7.9,R64,16,2017
South Dakota State,Sum,33,18,108.2,109.7,0.4612,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,-9.8,R64,16,2017
Texas Southern,SWAC,35,23,100.6,106.5,0.3437,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50,49.3,29.6,32.5,70,-4.4,R64,16,2017
Villanova,BE,40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,Champions,1,2018
Kansas,B12,39,31,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,F4,1,2018
Xavier,BE,35,29,120.9,97.7,0.9211,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,55.9,49.8,37.2,33.4,71.7,8.8,R32,1,2018
Virginia,ACC,34,31,114.6,86.7,0.9612,52.7,44.3,14,20.9,27,25.6,24.5,26.2,50.1,42.8,38.3,31,60.5,11.3,R64,1,2018
Duke,ACC,37,29,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,E8,2,2018
North Carolina,ACC,37,26,120.7,97.1,0.9242,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,72.6,7.1,R32,2,2018
Cincinnati,Amer,36,31,111.6,87.7,0.9417,51.2,43.3,17,21.6,38.5,28.2,36,26.8,50.2,41.4,35.3,30.9,66.2,5.9,R32,2,2018
Purdue,B10,37,30,123.2,95.7,0.9484,57.7,47,15.8,17.7,28,28,35.6,24.2,54.1,45.5,42,33.2,68.7,7.6,S16,2,2018
Michigan,B10,40,33,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3,2018
Texas Tech,B12,37,27,112.7,91.5,0.917,52,46.4,17.8,21.7,32.9,28.7,39.3,38,51.1,45.1,35.9,32.3,67.6,4.7,E8,3,2018
Michigan State,B10,35,30,118.9,94.3,0.9347,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,55.2,38.4,40.1,33.7,68,8,R32,3,2018
Tennessee,SEC,35,26,114.2,92,0.9225,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,47.3,46.1,38,31.8,67.1,6.4,R32,3,2018
Auburn,SEC,34,26,114,96.9,0.8672,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,73.8,4.3,R32,4,2018
Wichita State,Amer,33,25,120.9,102.7,0.8671,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,53.8,46,38.1,36.3,70.1,3.4,R64,4,2018
Arizona,P12,35,27,117,100.4,0.8528,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,56.7,47.7,36.9,35.8,68.3,3.8,R64,4,2018
Gonzaga,WCC,37,32,117.2,94.9,0.9192,57,47.1,16.1,17.4,33,23.1,32.1,29.1,58.2,44.1,36.8,35,70.5,4.9,S16,4,2018
Ohio State,B10,34,25,116,94.3,0.9154,54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,54.7,46.1,35.3,35.1,68.2,4.5,R32,5,2018
Clemson,ACC,35,25,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,67.2,3.9,S16,5,2018
West Virginia,B12,37,26,120.9,95.8,0.9353,50.4,49.9,16.5,23.3,37,30.1,31.3,44.1,48.8,45.4,35.3,38,71.2,4.6,S16,5,2018
Kentucky,SEC,37,26,115.8,95.6,0.9,51.8,46.8,18.6,16.8,35.7,31,44,32.3,51.2,48,35.7,30.1,70,4.3,S16,5,2018
Houston,Amer,35,27,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,69.4,2.4,R32,6,2018
Florida,SEC,34,21,115.2,93.9,0.9132,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,47.6,46.6,37,35.2,68.5,1.4,R32,6,2018
Miami FL,ACC,32,22,113.3,96.6,0.8623,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,52.2,48.8,36.4,32.8,68.2,2.7,R64,6,2018
TCU,B12,33,21,119.5,100.5,0.8804,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,55.1,50.1,39.4,37.6,70,2.2,R64,6,2018
Rhode Island,A10,34,26,109.7,97.3,0.7988,51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,R32,7,2018
Arkansas,SEC,35,23,116.7,100.4,0.8483,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,71.1,2.8,R64,7,2018
Nevada,MWC,37,29,118.9,102.5,0.8462,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,S16,7,2018
Texas A&M,SEC,35,22,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32,27.6,52.5,45.7,32.9,32.6,70.3,1.9,S16,7,2018
Seton Hall,BE,34,22,117.8,98.2,0.8902,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,52,50,36.5,33.8,70.7,2.5,R32,8,2018
Virginia Tech,ACC,33,21,115.2,98.6,0.8579,57.7,50.4,17,18.6,23.9,29.4,36.5,29.4,57.3,49.2,38.8,34.7,70.2,1.3,R64,8,2018
Creighton,BE,32,21,116.2,97.4,0.8836,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50,37.2,33.6,72.3,2,R64,8,2018
Missouri,SEC,32,20,111,96,0.842,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,50.3,45.4,39,32.7,66.8,0.4,R64,8,2018
Florida State,ACC,35,23,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,72.5,0.9,E8,9,2018
Kansas State,B12,37,25,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33,66.5,2.5,E8,9,2018
Alabama,SEC,36,20,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,R32,9,2018
North Carolina State,ACC,33,21,115.6,101.3,0.821,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,72.8,0.9,R64,9,2018
Butler,BE,35,21,116.1,95.3,0.9068,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,54.3,49.5,35.7,37.3,69.1,1.7,R32,10,2018
Oklahoma,B12,32,18,114.6,99.5,0.835,53.5,51,17.3,16.8,28.4,30,33.2,25.6,53.3,49.1,35.9,36.2,76.7,1.1,R64,10,2018
Texas,B12,34,19,109.3,93.7,0.8547,50,48.3,17,18,29.4,29.1,33,26.2,51.2,47.5,32,33.2,66.6,1.4,R64,10,2018
Providence,BE,35,21,108.4,95.9,0.8027,49.6,50.3,17.4,19,28.9,29,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,R64,10,2018
Loyola Chicago,MVC,37,32,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,F4,11,2018
Saint Bonaventure,A10,34,26,109.6,99.7,0.7485,51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32,70.4,1.4,R64,11,2018
San Diego State,MWC,32,22,110.2,94.9,0.8486,51.7,48.6,17,19,31.6,25,35.1,29.6,52,47.8,34.1,33.2,70,-1.5,R64,11,2018
Syracuse,ACC,37,23,106,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64,-0.4,S16,11,2018
Davidson,A10,33,21,117,102.3,0.823,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35,65.5,-2.9,R64,12,2018
Murray State,OVC,30,26,110.6,100.8,0.7449,55,47.2,17.6,18,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,-0.4,R64,12,2018
South Dakota State,Sum,31,28,113.2,100.4,0.7989,54.3,50,14,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,0.6,R64,12,2018
New Mexico State,WAC,31,28,106.8,95,0.7927,51.6,46,17.4,19,33.8,22.5,29.1,33,52,45.7,34,31.1,69.4,1.3,R64,12,2018
Marshall,CUSA,35,25,108.8,102.5,0.6633,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,75.9,-2.5,R32,13,2018
Buffalo,MAC,35,27,114.5,102.7,0.7761,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,-1.3,R32,13,2018
College of Charleston,CAA,32,26,106.8,104.3,0.5685,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52,48.7,35.9,34.6,66,-2.1,R64,13,2018
UNC Greensboro,SC,32,27,103.4,95.2,0.7207,51.7,47.5,19.8,21.4,33.7,23.9,26,39.2,51.1,47.3,35,31.9,66.2,-1.6,R64,13,2018
Montana,BSky,32,26,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,R64,14,2018
Wright State,Horz,33,25,99.4,97.2,0.5638,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,69.3,-3.5,R64,14,2018
Bucknell,Pat,35,25,108,101.3,0.676,53.9,47.8,17,17,27,27.5,42.6,34.5,55,47,34.8,33.1,72.9,-3,R64,14,2018
Stephen F. Austin,Slnd,31,28,103.8,97.1,0.6832,53.1,49.7,20.7,25.9,32,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,-1.8,R64,14,2018
Lipscomb,ASun,30,23,103.2,101.8,0.5375,51.5,52,20,19.9,27.4,24.3,40.6,38.4,53.2,52.8,32.7,33.8,75.9,-3.2,R64,15,2018
Cal State Fullerton,BW,30,20,101.6,102.5,0.476,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,52,45,33.8,36.4,70.7,-5.5,R64,15,2018
Iona,MAAC,34,20,108.8,107.6,0.5333,53.9,52.5,16,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,-7.3,R64,15,2018
Georgia State,SB,33,24,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,67.7,-5.1,R64,15,2018
UMBC,AE,33,25,102.1,102.2,0.4963,52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,48.1,51,38.2,35,69.3,-4.9,R32,16,2018
Radford,BSth,34,23,101.3,102.8,0.4559,49.3,50.1,18.7,20.2,32,28,31.2,31.7,47.1,48.9,35,34.6,64.2,-6.5,R64,16,2018
Penn,Ivy,32,24,103.6,97.6,0.6644,52.9,47,16.6,17,23.8,22.6,33.4,31.8,53.3,48,34.8,30,70.1,-3.3,R64,16,2018
Texas Southern,SWAC,36,16,104.1,112.4,0.293,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,48.5,49.4,35.9,36.6,72.6,-10.9,R64,16,2018
Virginia,ACC,38,35,123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,Champions,1,2019
Duke,ACC,38,32,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,E8,1,2019
Gonzaga,WCC,37,33,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,E8,1,2019
North Carolina,ACC,36,29,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76,10,S16,1,2019
Kentucky,SEC,37,30,117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,E8,2,2019
Michigan State,B10,39,32,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,F4,2,2019
Michigan,B10,37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,S16,2,2019
Tennessee,SEC,36,31,122.8,95.2,0.9488,55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,S16,2,2019
Texas Tech,B12,38,31,115.2,85.2,0.9696,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7,2ND,3,2019
Purdue,B10,36,26,122.8,94.3,0.9539,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,6.1,E8,3,2019
Houston,Amer,37,33,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,67.3,7.8,S16,3,2019
LSU,SEC,35,28,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,S16,3,2019
Kansas,B12,36,26,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46,35,33.6,71.5,8.3,R32,4,2019
Kansas State,B12,34,25,108,87.8,0.9151,49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,48.9,49,33.4,31.4,64.9,6.5,R64,4,2019
Florida State,ACC,37,29,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,70,7.6,S16,4,2019
Virginia Tech,ACC,35,26,117.8,93.4,0.9357,55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49,39.4,32.7,65.1,5,S16,4,2019
Auburn,SEC,39,30,121.3,95.2,0.942,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,6.1,F4,5,2019
Wisconsin,B10,34,23,108.2,88.6,0.9089,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,65,6.3,R64,5,2019
Marquette,BE,34,24,111.7,95.9,0.8524,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50,45.1,38.8,32.4,70.5,2.7,R64,5,2019
Mississippi State,SEC,34,23,116.9,96.8,0.898,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,69,4.5,R64,5,2019
Maryland,B10,34,23,111.6,93.3,0.8875,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,50.8,44.7,34.9,31.9,67.7,4.2,R32,6,2019
Villanova,BE,36,26,114.6,98.9,0.8448,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,65.1,3.6,R32,6,2019
Buffalo,MAC,35,32,113.6,95.3,0.8819,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,5.5,R32,6,2019
Iowa State,B12,35,23,118.4,96.6,0.912,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,69.1,4.3,R64,6,2019
Wofford,SC,32,30,116.4,97.1,0.8892,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,53.9,50.6,41.4,32.6,67.1,4,R32,7,2019
Louisville,ACC,34,20,112.9,93.1,0.9023,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,50.6,46,34.2,32,68.6,2.3,R64,7,2019
Cincinnati,Amer,35,28,112.3,93.8,0.8871,49,48.6,16,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,65,5.8,R64,7,2019
Nevada,MWC,34,29,112.5,95.9,0.8618,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28,54.9,46.3,34.7,33.2,70.8,3.8,R64,7,2019
VCU,A10,33,25,104.6,87.6,0.8838,50.1,43.5,20,23.4,31,30.6,35.7,36.6,53.1,43.8,30.5,28.5,69.7,1.1,R64,8,2019
Syracuse,ACC,34,20,110.5,94.2,0.8622,49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,49.3,46.9,33.3,32.9,67.3,0.4,R64,8,2019
Utah State,MWC,34,28,111.3,96.8,0.8329,53.9,46.5,18.2,17.3,32,22.3,36.7,34.3,54.2,42.2,35.7,35.3,69.6,2,R64,8,2019
Mississippi,SEC,33,20,113.3,97.9,0.8433,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,69.7,0.9,R64,8,2019
UCF,Amer,33,24,112.7,93.3,0.898,52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,52,44.5,36.5,31.3,66.4,2,R32,9,2019
Baylor,B12,34,20,114.6,99.2,0.84,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,51.2,47.5,34.1,34.5,66.6,0.9,R32,9,2019
Oklahoma,B12,34,20,110.5,93.1,0.878,50.4,47.5,17,17.3,25.8,27.8,31.3,23.1,49.7,45.8,34.6,33.3,70.3,2.5,R32,9,2019
Washington,P12,36,27,105.6,93.1,0.8097,52.1,47.5,19.8,24.2,29.1,34.9,34.7,34,51.9,46,35,33.4,67.3,3.1,R32,9,2019
Iowa,B10,35,23,116.1,100.6,0.8385,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,51.4,53.5,36.4,32.4,70.9,3.2,R32,10,2019
Minnesota,B10,36,22,110.4,96.3,0.8284,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34,68.8,2.7,R32,10,2019
Florida,SEC,36,20,110.3,91.6,0.8947,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,64.3,0.7,R32,10,2019
Seton Hall,BE,34,20,107.9,96.9,0.7749,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,50.6,48.7,32.4,34,70.4,-0.4,R64,10,2019
Ohio State,B10,35,20,107.8,93.8,0.8329,50.3,48.3,18.7,18.2,27.6,25.9,33.7,31.8,49.7,47.9,34.1,32.7,67.2,0.9,R32,11,2019
Belmont,OVC,32,27,114.9,101,0.8138,57.6,48.7,15.2,16,25.3,25,28.5,27.4,59.2,47.2,37,34.4,72.5,1.2,R64,11,2019
Arizona State,P12,34,23,108.7,97.6,0.775,50.6,48.5,18.7,19,31.7,26.9,43.8,38.6,50.8,47.3,33.6,33.4,71.9,0.1,R64,11,2019
Saint Mary’s,WCC,34,22,113.1,96.3,0.8637,53.8,48.9,16.2,16.3,31.2,23,29.1,29.1,52.3,49.2,37.8,32.1,64.1,-0.8,R64,11,2019
Liberty,BSth,33,29,109.2,99.6,0.7428,55.9,48.9,17.2,20.5,25.2,26.4,26.7,32.7,56.4,48.3,36.8,33.3,63.5,-0.6,R32,12,2019
Murray State,OVC,31,28,110.4,98.6,0.7852,54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,56.2,48.3,34.9,28.9,70.2,1.2,R32,12,2019
New Mexico State,WAC,33,30,111.8,98.2,0.8155,54.1,48.9,17.8,19.1,37,22.5,34.6,32.5,56.7,48,34,33.5,67.1,1.4,R64,12,2019
Oregon,P12,38,25,108.1,91.7,0.8687,52,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29,65.4,-1.1,S16,12,2019
UC Irvine,BW,36,31,107.2,97.6,0.7458,51.3,44.1,17.5,16.7,33.7,27,28.7,33,50.1,40.7,35.9,33.9,66.6,0.7,R32,13,2019
Saint Louis,A10,36,23,101.3,95.7,0.6599,46.7,46.9,19.3,19.4,36,25.1,39.4,33.5,47.2,46.7,30.4,31.4,67.7,-3.2,R64,13,2019
Vermont,AE,33,27,107,98.1,0.7324,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,51.6,46.3,35.9,35.1,66.7,-1,R64,13,2019
Northeastern,CAA,34,23,109.1,102.5,0.6712,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53,38.2,33.7,67.5,-2.8,R64,13,2019
Old Dominion,CUSA,35,26,99.3,94.6,0.6339,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,-1.8,R64,14,2019
Northern Kentucky,Horz,33,26,107.8,101.3,0.6719,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,55,49.9,36,32,69.3,-2.2,R64,14,2019
Yale,Ivy,29,22,110.5,102.5,0.7034,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56,47.8,36.5,31,72.2,-0.9,R64,14,2019
Georgia State,SB,33,24,106.4,101.1,0.6418,53.7,50.3,16.4,21,23,33.8,35.4,30.9,51.2,51.2,38.1,32.8,71.3,-1.3,R64,14,2019
Montana,BSky,33,26,106.2,103.2,0.5812,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,68,-3.2,R64,15,2019
Bradley,MVC,34,20,101.1,100.5,0.517,49.7,47.6,18.8,18.4,26.7,26.7,36.3,35.6,46.5,46.5,37,32.8,66.5,-7.9,R64,15,2019
Colgate,Pat,34,24,109.1,105.5,0.5961,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,53.5,50.5,39.5,33.9,67.9,-4.4,R64,15,2019
Abilene Christian,Slnd,30,27,100.9,100.7,0.5064,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,-2.6,R64,15,2019
Gardner Webb,BSth,32,23,106,106.6,0.4852,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,68.7,-5,R64,16,2019
Iona,MAAC,33,17,105.2,108.8,0.4044,53,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,-10.4,R64,16,2019
Fairleigh Dickinson,NEC,33,21,104.5,110.3,0.3494,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,51,51.3,40.1,35.3,68,-9.3,R64,16,2019
North Dakota State,Sum,33,19,106.6,109,0.4369,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37,66.5,-8.6,R64,16,2019
Michigan,B10,24,20,118.1,91.1,0.9521,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,66.9,7.2,E8,1,2021
Baylor,B12,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,Champions,1,2021
Illinois,B10,29,23,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,R32,1,2021
Gonzaga,WCC,26,26,125.4,89.8,0.9791,61,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64,46.8,36.5,32.5,74.6,8.5,2ND,1,2021
Iowa,B10,29,21,123.5,95.7,0.9491,54.6,48.3,13.3,16.3,30.7,28.6,32,22.6,52.4,45.8,38.6,34.8,70,5.6,R32,2,2021
Ohio State,B10,30,21,122.1,97,0.934,53.1,48.9,15.3,15,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,66.9,6,R64,2,2021
Houston,Amer,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,F4,2,2021
Alabama,SEC,30,24,111,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,S16,2,2021
West Virginia,B12,27,18,115.9,95.3,0.9046,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3,R32,3,2021
Texas,B12,26,19,113.8,93.5,0.9058,52.9,46.7,20.2,17.8,31.3,26.9,34,36.7,52.4,45.8,35.7,32.3,69.1,4.2,R64,3,2021
Kansas,B12,27,20,108.5,90,0.8964,49.8,47,17.7,20,30.9,26.9,30.5,26.5,49.3,45.9,33.8,32.6,68.2,4.2,R32,3,2021
Arkansas,SEC,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,E8,3,2021
Florida State,ACC,22,16,117.8,94,0.9305,54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,52.1,44.2,39,33.3,70.4,2.5,S16,4,2021
Virginia,ACC,24,18,114.6,93.9,0.9079,56.1,47.9,15.4,15.2,23.1,22.6,22,24.6,55.3,46.1,38.1,34,59.9,3.4,R64,4,2021
Purdue,B10,27,18,112.4,92.9,0.8994,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,66.6,3.8,R64,4,2021
Oklahoma State,B12,28,20,109.3,92.3,0.875,52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,52.8,46.9,33.8,31.7,71.6,4.6,R32,4,2021
Villanova,BE,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,S16,5,2021
Tennessee,SEC,26,18,108.8,89.2,0.9072,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,66.9,2.4,R64,5,2021
Creighton,BE,28,20,114.4,94.3,0.9025,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,3.5,S16,5,2021
Colorado,P12,30,22,113.7,93.5,0.9045,52,47.7,16.8,19.8,30.9,25.6,29.9,28,50.3,46.5,36.7,33.3,66.3,2.6,R32,5,2021
Texas Tech,B12,27,17,112.3,92.2,0.9057,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,0.9,R32,6,2021
BYU,WCC,25,20,112.8,93.3,0.8991,55,46.6,19,16,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,68.2,3.3,R64,6,2021
USC,P12,29,22,112,92,0.9052,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,52.1,42.2,34.8,34.2,67.2,3.6,E8,6,2021
San Diego State,MWC,26,23,111.1,90,0.9191,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66,2.8,R64,6,2021
Florida,SEC,23,14,110.6,93.4,0.8748,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,1.4,R32,7,2021
Connecticut,BE,22,15,114.6,92.8,0.9188,49.5,46.2,17.6,19.6,36.9,29.8,29.6,36.9,49,45.6,33.6,31.6,65.7,2.1,R64,7,2021
Clemson,ACC,23,16,105.9,91.9,0.8374,50.4,48.7,19.5,21.6,26.6,26.6,23.6,29.6,49.2,47.5,34.6,33.7,64.4,2.9,R64,7,2021
